id;url;title;description;location;is_active;created;updated
1;https://ervin.com;orchestration firewall;deposit IB;Lanka Bulgaria IB;true;2022-04-06T22:43:37;2022-04-06T17:09:31
2;http://alexandrine.com;Soft input;Directives override redundant;Licensed parsing;true;2022-04-07T07:35:33;2022-04-07T06:15:58
3;https://berry.biz;relationships;visionary bypassing Islands;grey;false;2022-04-06T20:08:58;2022-04-07T02:48:05
4;http://ila.info;non-volatile;Micronesia;Chair;false;2022-04-06T21:21:35;2022-04-06T13:19:54
5;http://monte.info;optical Passage;Berkshire calculate;forecast functionalities;false;2022-04-07T00:24:58;2022-04-07T09:21:48
6;http://stacy.com;Assurance Cotton Towels;value-added programming;Account monitor;true;2022-04-07T08:07:13;2022-04-06T18:25:13
7;https://jakayla.biz;Dynamic;wireless Gourde;hacking;false;2022-04-06T20:35:11;2022-04-07T08:30:09
8;https://serenity.com;yellow;ADP;Profit-focused Hawaii;false;2022-04-07T04:52:08;2022-04-06T15:20:43
9;http://wendell.info;concept Focused Accountability;Bedfordshire;Administrator policy;true;2022-04-06T20:57:57;2022-04-07T09:46:23
10;http://johan.com;holistic;analyzer Rubber;Account;false;2022-04-07T10:14:28;2022-04-06T18:00:57
